nome_blox,course_name,area_do_conhecimento,area_funcional,nota
ADMINISTRACAO DE SERVIÇOS,ADMINISTRACAO,Técnico,Marketing,354.70000000000005
Deu Química,ENGENHARIA CIVIL,Técnico,Física e Química,161.2
Direito Empresarial II,ADMINISTRACAO,Básico,Sociedade e Mundo,0
É um lance de Química,ENGENHARIA DE COMPUTAÇÃO,Técnico,Física e Química,187.90000000000003
SISTEMAS OPERACIONAIS: CONHECENDO OS CAMINHOS,SISTEMAS DE INFORMAÇÃO,Complementar,"Software, Programação e Dados",164.70000000000005
Para que Psicologia no Trabalho?,ADMINISTRACAO,Básico,Sociedade e Mundo,249.3
"Administrando as Finanças da Organização ",ADMINISTRACAO,Técnico,Finanças e Economia,203.89999999999998
PSICOLOGIA APLICADA À ADMINISTRAÇÃO II,ADMINISTRACAO,Básico,Sociedade e Mundo,287.1
Aprovado em 8 Concursos Públicos: o que ele fez?,CIÊNCIAS CONTÁBEIS,Complementar,Sociedade e Mundo,198.8
CLUBE DA MATEMÁTICA,ENGENHARIA CIVIL,Quantitativo,Raciocínio Lógico e Matemático,81.5
Internacionalizando negócios,ADMINISTRACAO,Técnico,Logística,223.29999999999998
ELETIVA I - METODOLOGIA CIENTÍFICA E DA PESQUISA (EAD),ADMINISTRACAO,Básico,Sociedade e Mundo,557.9999999999998
Desenvolvendo Competências do Engenheiro,ENGENHARIA CIVIL,Básico,"Software, Programação e Dados",185.3
LOGÍSTICA DE A a Z,ADMINISTRACAO,Técnico,Logística,0
Programando Orientado a Objetos como um Profissional,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",69.7
LABORATÓRIO DE PROGRAMAÇÃO III,SISTEMAS DE INFORMAÇÃO,Quantitativo,"Software, Programação e Dados",312.4
METODOLOGIA DESCOMPLICADA,ENGENHARIA CIVIL,Básico,Sociedade e Mundo,222.80000000000004
Mercado de capitais: um diálogo para iniciar,ADMINISTRACAO,Técnico,Finanças e Economia,215.20000000000005
CÁLCULO DIFERENCIAL E INTEGRAL,SISTEMAS DE INFORMAÇÃO,Quantitativo,Raciocínio Lógico e Matemático,297.4000000000001
CIÊNCIAS POLÍTICAS,SISTEMAS DE INFORMAÇÃO,Básico,Sociedade e Mundo,275.9000000000001
Exportar é o que importa!,ADMINISTRACAO,Técnico,Logística,219.7
INFORMAR PARA DECIDIR,SISTEMAS DE INFORMAÇÃO,Técnico,Estratégia e Negociação,342
"Indices Financeiros, conversando com os relatórios",CIÊNCIAS CONTÁBEIS,Técnico,Finanças e Economia,52.8
"Faça amor, não faça guerra",CIÊNCIAS CONTÁBEIS,Técnico,Estratégia e Negociação,157.4
Programação Web Intermediária,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",195.2
Contabilidade Pública sem Segredos,CIÊNCIAS CONTÁBEIS,Técnico,Contabilidade,200.10000000000002
