nome_blox,status,nome_curso,Record Count,area_conhecimento
Medindo o desempenho em Gestão de Pessoas,ongoing,Pós-Graduação em Gestão Estratégica de Pessoas,27,1
Medindo o desempenho em Gestão de Pessoas,cancelled,Pós-Graduação em Gestão Empresarial,27,1
Gestão contábil e financeira,cancelled,Pós-Graduação em Gestão Estratégica de Pessoas,27,1
Juros e Empréstimos: a avaliação financeira de um projeto,cancelled,Pós-Graduação em Gestão Estratégica de Pessoas,27,1
Gestão estratégica da tecnologia da informação,cancelled,Pós-Graduação em Gestão Estratégica de Pessoas,27,1
Inovar para o sucesso!,cancelled,Pós-Graduação em Gestão Empresarial,27,1
A magia da negociação,ongoing,Pós-Graduação em Gestão Estratégica de Pessoas,27,1
Planejar para empreender! Plano de negócios e Modelo de negócios,ongoing,Pós-Graduação em Controladoria e Finanças,27,1
Inovar para o sucesso!,ongoing,Pós-Graduação em Controladoria e Finanças,27,1
"Estratégia para a indústria 4.0 ",cancelled,Pós-Graduação em Gestão Empresarial,27,1
"Gestão de Projetos Educacionais ",pending,Pós-Graduação em Gestão Empresarial,26,1
A magia da negociação,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),24,1
Refletindo sobre o nosso papel - como a filosofia nos ajuda a entender a sociedade,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),24,1
Contabilidade Para Não Contadores,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),24,1
"Conceitos de linguagem e comunicação: fala, escrita e técnicas de leitura",cancelled,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),24,1
Contabilidade Para Não Contadores,pending,Extensão em Negócios e Inovação,24,1
Conhecendo a estatística,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),24,1
Comportamento organizacional,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),24,1
Projeto e planejamento escolar,cancelled,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),24,1
Competitividade de mercado,cancelled,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),24,1
Matemática aplicada: conceitos fundamentais,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),24,1
Aprender brincando: ludicidade e pensamento pedagógico,cancelled,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),24,1
Entendendo as relações trabalhistas,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),24,1
Como é o planejamento pedagógico?,cancelled,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),24,1
