,materia,a.conhecimento
480,Marketing I,Negócios e Administração
481,Pesquisa em Administração,Negócios e Administração
482,Cálculo Diferencial,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
483,Microeconomia,"Ciências Sociais, Jornalismo e Informação"
484,Contabilidade Empresarial,Negócios e Administração
485,Teoria e Análise das Organizações,"Ciências Sociais, Jornalismo e Informação"
486,Direito Aplicado à Administração,Direito
487,Comportamento do Consumidor,Negócios e Administração
488,Marketing II,Negócios e Administração
489,Cálculo Integral,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
490,Gestão de Projetos,Negócios e Administração
491,Macroeconomia,"Ciências Sociais, Jornalismo e Informação"
492,Gestão de Custos e Preços,Negócios e Administração
493,Gestão de Operações,Negócios e Administração
494,Administração de Sistemas de Informação,Negócios e Administração
495,Filosofia,"Humanidades, Artes e Linguagens"
496,Marketing III,Negócios e Administração
497,Estatística Descritiva,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
498,Pesquisa Integrada,Educação
499,Economia Brasileira e Internacional Contemporanea,"Ciências Sociais, Jornalismo e Informação"
500,Finanças Corporativas,Negócios e Administração
501,Gestão de Pessoas,Negócios e Administração
502,"Intuição, Ciência e Lógica","Humanidades, Artes e Linguagens"
503,Marketing IV,Negócios e Administração
504,Inferência Estatística,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
505,Projeto Integrado,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
506,Comunicação de Marketing,Negócios e Administração
507,Modelos de Negócios,Negócios e Administração
508,Mercado de Capitais,Negócios e Administração
509,Criando Valor com Métricas Digitais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
510,Análise de Regressão,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
511,Gestão de Investimentos,Negócios e Administração
512,Estratégia Empresarial,Negócios e Administração
513,Branding,Educação
514,Marketing Digital,Negócios e Administração
515,Análise de Métricas Digitais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
516,"Governança, Riscos e Compliance",Direito
517,Indicadores Financeiros como Alavanca Estratégicas,Negócios e Administração
518,Pesquisa de Marketing,Negócios e Administração
519,Pré-Projeto de TCC,programas genericos
520,Controladoria,Negócios e Administração
521,Gestão da Cadeia de Suprimentos,Negócios e Administração
522,Estágio Supervisionado,programas genericos
523,Marketing de Nichos,Negócios e Administração
524,E-Commerce e Logística,Negócios e Administração
525,Finanças Internacionais,Negócios e Administração
526,Execução Estratégica,Ciências Naturais
527,Responsabilidade Social-Ambiental,"Humanidades, Artes e Linguagens"
528,Trade Marketing,Negócios e Administração
529,TCC I,programas genericos
530,Gestão Simulada,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
531,Análise das Decisões,Negócios e Administração
532,Métricas em Marketing,Negócios e Administração
533,Business Inteligence,Negócios e Administração
534,"Avaliação, Fusão e Aquisições","Agricultura, Silvicultura, Pesca e Veterinária"
535,Qualidade de Decisões sob Incerteza,Negócios e Administração
536,TCC II,programas genericos
537,Cultura e Sociedade (Antropologia e Sociologia),"Ciências Sociais, Jornalismo e Informação"
538,Marketing de Serviços e B2B,Negócios e Administração
539,A Nova Cara do Protesto: Das“Primaveras Árabes”ao Occupy Wall Street,"Humanidades, Artes e Linguagens"
540,"Cinema, Identidades e Diversidade","Humanidades, Artes e Linguagens"
541,Empreendedorismo,Negócios e Administração
542,Entendendo e Fazendo a Gestão da Diversidade,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
543,Estratégia de Games para Comunicação e Marketing,Negócios e Administração
544,"Inovação, Estratégia e Desing Thinking",Negócios e Administração
545,Marketing e a Gestão da Experiência do Cliente,Negócios e Administração
546,Marketing Mix Varejista,Negócios e Administração
547,Mitos e Símbolos na Produção da Cultura,"Engenharia, Produção e Construção"
548,Neurociência Aplicada ao Mercado,Ciências Naturais
549,Ser Gestor e Líder: Competências de Comunicação e Negociação para Trabalhar em Equipe,Negócios e Administração
550,Webdesign,Educação
551,Inovação e Comportamento do Consumidor,Negócios e Administração
552,Lider-Coach: Preparando-se para a Liderança do Século XXI,"Humanidades, Artes e Linguagens"
553,Expressão e Comunicação: Práticas de Apresentação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
554,"Direção de Cinema - Técnica, Conceito e Aplicação","Humanidades, Artes e Linguagens"
555,Gestão de Pequena e Média Empresa                   ,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
556,Empreendendo com Emoção: Vivenciando uma Startup,Ciências Naturais
557,Narrativas e Roteiros para Vídeo Digital,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
558,Empreendedores e Empreendedorismo Social: Projetos Sociais,Negócios e Administração
559,Edição e Design de Publicações ,"Humanidades, Artes e Linguagens"
560,Estudo de Caso em Marketing,Negócios e Administração
561,Tópicos Emergentes I,Negócios e Administração
562,Tópicos Emergentes II,Negócios e Administração
563,Tópicos Emergentes III,Negócios e Administração
564,Tópicos Emergentes V,Negócios e Administração
565,Tópicos Emergentes IV,Negócios e Administração
566,Tópicos Emergentes VI,Negócios e Administração
567,Big Data com Foco em Negócios,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
568,Blockchain e Cryptomoedas,Educação
569,International Organization Behavior and Multi-Cultural Business Environments,Negócios e Administração
570,"Moda, Consumo e Comportamento","Ciências Sociais, Jornalismo e Informação"
571,Negociação Executiva Empresarial e Gestão de Conflitos,Negócios e Administração
572,"Visões do Contemporâneo: Reflexões sobre a Sociedade, a Cultura e a Política no Século XXI","Ciências Sociais, Jornalismo e Informação"
573,Construindo um Futuro Melhor: Vivenciando Negócios de Impacto Social,Negócios e Administração
574,Diagnóstico e Projeção Financeira para Empreendedores,Negócios e Administração
575,O Que Você Precisa Saber Sobre Inteligência Artificial,"Ciências Sociais, Jornalismo e Informação"
576,Introdução à Inovação,Negócios e Administração
577,"Brand Entertainment: Linguagem, Comunicação e Gestão",Programas Interdisciplinares
578,Carreira: Desenhando seu Caminho em um Mundo Complexo e Instável,Ciências Naturais
579,Análise de Jogos - Digitais e Analógicos,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
580,Diversidade: uma Visão Crítica e Humanística da Gestão,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
581,Construção de Escalas Métricas e Segmentação de Mercado,"Engenharia, Produção e Construção"
582,Inovação da Gestão de Pessoas: Desenvolvendo a Mentalidade Empreendedora,Negócios e Administração
583,Inovação e o Comportamento do Consumidor: Minimizando Riscos de Fracasso em Produtos Inovadores,Negócios e Administração
584,Economia Criativa,"Ciências Sociais, Jornalismo e Informação"
585,Diversidade: O Grande Desafio Contemporâneo da Sociedade e das Empresas,Negócios e Administração
586,Análise de Jogos,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
587,Geomarketing,Educação
588,Diagnóstico Financeiro do Negócio,Negócios e Administração
589,Construção de Escalas e Segmentação de Mercado,"Engenharia, Produção e Construção"
590,Multibranded Entertainment - As Marcas como Empresas de Comunicação,Negócios e Administração
591,Comunicação e Consumo: como analisar as mídias,Negócios e Administração
592,Análise de Dados Aplicada à Soluções Corporativas,"Engenharia, Produção e Construção"
593,Empreendendo com Emoção: Vivenciando uma Startup,Ciências Naturais
594,Game Design,"Humanidades, Artes e Linguagens"
595,Game Cultura,Negócios e Administração
596,Gestão Estratégica de Varejo,programas genericos
597,Programação para Gestores,Negócios e Administração
598,Audiovisual: Mercados e Carreira,"Humanidades, Artes e Linguagens"
599,CRM - Costumer Relationship Management,"Agricultura, Silvicultura, Pesca e Veterinária"
600,A Cultura do Islã,Negócios e Administração
601,Arte Brasileira Moderna e Contemporânea,"Humanidades, Artes e Linguagens"
602,Blockchain,Educação
603,"Design, Negócios e Política","Ciências Sociais, Jornalismo e Informação"
604,Videodocumentário e História,"Humanidades, Artes e Linguagens"
605,Negócios de Impacto Social,Negócios e Administração
606,Princípios de Ergonomia em Ambientes de Trabalho,"Engenharia, Produção e Construção"
607,Gestão Multicultural no Ambiente de Negócios,Negócios e Administração
608,Mentoria e Gestão para Mentalidade Empreendedora,Negócios e Administração
609,Práticas Gráficas Experimentais,"Humanidades, Artes e Linguagens"
610,Economia Criativa,"Ciências Sociais, Jornalismo e Informação"
611,Finanças Aplicadas de Mercado,Negócios e Administração
612,Fundamentos de Economia,"Ciências Sociais, Jornalismo e Informação"
613,Fundamentos de Marketing,Negócios e Administração
614,Cálculo e Modelos Aplicados,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
615,"Inovação, Criatividade e Novos Modelos de Negócios",Negócios e Administração
616,Gestão de Projetos e Empreendedorismo,Negócios e Administração
617,Comportamento do Consumidor,Negócios e Administração
618,Análise e Visualização de Dados,"Engenharia, Produção e Construção"
619,Microeconomia,"Ciências Sociais, Jornalismo e Informação"
620,Design e Teoria das Organizacões,"Humanidades, Artes e Linguagens"
621,Finanças Corporativas e Valor,Negócios e Administração
622,Pensamento Contemporâneo I,Negócios e Administração
623,Gestão de Pessoas e Cultura Organizacional,Negócios e Administração
624,Pesquisa de Mercado e Estatística Aplicada,"Ciências Sociais, Jornalismo e Informação"
625,Gestão de Custos e Preços,Negócios e Administração
626,Macroeconomia,"Ciências Sociais, Jornalismo e Informação"
627,Gestão de Operações,Negócios e Administração
628,Marketing Estratégico (Business Game),Negócios e Administração
629,Direito e Ética nos Negócios,Direito
630,Gestão de Investimentos e Modelagem,Negócios e Administração
631,Supply Chain Management,"Agricultura, Silvicultura, Pesca e Veterinária"
632,Planejamento de Marketing,Negócios e Administração
633,Branding,Educação
634,Modelagem de Negócios ,Negócios e Administração
635,Análise de Conjuntura,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
636,Governança Corporativa,Negócios e Administração
637,Estratégia Empresarial,Negócios e Administração
638,Acompanhamento de Carreira / Estágio Supervisionado,Ciências Naturais
639,Negociações Complexas e Gestão de Crises,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
640,Business Technology,Negócios e Administração
641,Metodologia de Pesquisa (Pré TCC),programas genericos
642,Comunicação Integrada,Negócios e Administração
643,Marketing e Estratégias Digitais,Negócios e Administração
644,TCC I,programas genericos
645,Gestão da Inovação & Competitividade,Negócios e Administração
646,Global Business,Negócios e Administração
