,materia,a.conhecimento
1505,Jornalismo de Dados,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1506,Gerenciamento de Crise e Reputação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1507,Jornalismo Especializado,Educação
1508,Comunicação e Resp.Social e Ambiental,"Ciências Sociais, Jornalismo e Informação"
1509,Introdução ao Estudo Das Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
1510,Sistema do Comércio Exterior Brasileiro,Saúde e Bem-Estar Social
1511,Teorias Políticas,"Engenharia, Produção e Construção"
1512,Inglês I,Educação
1513,Espanhol I,Educação
1514,Direito Internacional Público,Direito
1515,Inglês II,Educação
1516,Espanhol II,Educação
1517,História Das Relações Internacionais Contemporânea,"Humanidades, Artes e Linguagens"
1518,Direito do Comércio Internacional,Direito
1519,Economia Internacional,"Ciências Sociais, Jornalismo e Informação"
1520,Conflito e Segurança Nas Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
1521,Filosofia da Ciência,"Humanidades, Artes e Linguagens"
1522,Geopolítica,Educação
1523,Consultoria Empresarial,Negócios e Administração
1524,Estratégias de Cooperação,Educação
1525,Logística Internacional,Negócios e Administração
1526,Gestão e Qualidade,Negócios e Administração
1527,Gestão de TI,Negócios e Administração
1528,Desenvolvimento de Produtos Digitais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1529,Diplomacy And International Negotiation,Negócios e Administração
1530,Branding and International Communication,Negócios e Administração
1531,Análise de Novos Negócios,Negócios e Administração
1532,Gestão de Mudanças,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1533,Consumo e Entretenimento Digital,Negócios e Administração
1534,Análise do Ambiente de Negócios Digitais,Negócios e Administração
1535,Comportamento do Consumidor,Negócios e Administração
1536,Gestão de Comunicação com o Mercado,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1537,Análise da Política Externa Brasileira,"Ciências Sociais, Jornalismo e Informação"
1538,Conflito e Segurança Nas Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
1539,Direito do Comércio Internacional,Direito
